dim_time_key,time_hhmm,time_hh_24,time_hh,time_am_pm
170605,1706,17,5,pm
170606,1706,17,5,pm
170607,1706,17,5,pm
170608,1706,17,5,pm
170609,1706,17,5,pm
170610,1706,17,5,pm
170611,1706,17,5,pm
170612,1706,17,5,pm
170613,1706,17,5,pm
170614,1706,17,5,pm
170615,1706,17,5,pm
170616,1706,17,5,pm
170617,1706,17,5,pm
170618,1706,17,5,pm
170619,1706,17,5,pm
170620,1706,17,5,pm
170621,1706,17,5,pm
170622,1706,17,5,pm
170623,1706,17,5,pm
170624,1706,17,5,pm
170625,1706,17,5,pm
170626,1706,17,5,pm
170627,1706,17,5,pm
170628,1706,17,5,pm
170629,1706,17,5,pm
170630,1706,17,5,pm
170631,1706,17,5,pm
170632,1706,17,5,pm
170633,1706,17,5,pm
170634,1706,17,5,pm
170635,1706,17,5,pm
170636,1706,17,5,pm
170637,1706,17,5,pm
170638,1706,17,5,pm
170639,1706,17,5,pm
170640,1706,17,5,pm
170641,1706,17,5,pm
170642,1706,17,5,pm
170643,1706,17,5,pm
170644,1706,17,5,pm
170645,1706,17,5,pm
170646,1706,17,5,pm
170647,1706,17,5,pm
170648,1706,17,5,pm
170649,1706,17,5,pm
170650,1706,17,5,pm
170651,1706,17,5,pm
170652,1706,17,5,pm
170653,1706,17,5,pm
170654,1706,17,5,pm
170655,1706,17,5,pm
170656,1706,17,5,pm
170657,1706,17,5,pm
170658,1706,17,5,pm
170659,1706,17,5,pm
170700,1707,17,5,pm
170701,1707,17,5,pm
170702,1707,17,5,pm
170703,1707,17,5,pm
170704,1707,17,5,pm
170705,1707,17,5,pm
170706,1707,17,5,pm
170707,1707,17,5,pm
170708,1707,17,5,pm
170709,1707,17,5,pm
170710,1707,17,5,pm
170711,1707,17,5,pm
170712,1707,17,5,pm
170713,1707,17,5,pm
170714,1707,17,5,pm
170715,1707,17,5,pm
170716,1707,17,5,pm
170717,1707,17,5,pm
170718,1707,17,5,pm
170719,1707,17,5,pm
170720,1707,17,5,pm
170721,1707,17,5,pm
170722,1707,17,5,pm
170723,1707,17,5,pm
170724,1707,17,5,pm
170725,1707,17,5,pm
170726,1707,17,5,pm
